city,year,weekofyear,total_cases
sj,2008,18,14
sj,2008,19,15
sj,2008,20,15
sj,2008,21,18
sj,2008,22,18
sj,2008,23,22
sj,2008,24,22
sj,2008,25,32
sj,2008,26,23
sj,2008,27,32
sj,2008,28,23
sj,2008,29,32
sj,2008,30,30
sj,2008,31,30
sj,2008,32,36
sj,2008,33,44
sj,2008,34,35
sj,2008,35,49
sj,2008,36,53
sj,2008,37,57
sj,2008,38,50
sj,2008,39,36
sj,2008,40,50
sj,2008,41,41
sj,2008,42,33
sj,2008,43,27
sj,2008,44,30
sj,2008,45,31
sj,2008,46,30
sj,2008,47,31
sj,2008,48,29
sj,2008,49,21
sj,2008,50,20
sj,2008,51,21
sj,2008,52,16
sj,2009,1,22
sj,2009,2,12
sj,2009,3,18
sj,2009,4,15
sj,2009,5,19
sj,2009,6,14
sj,2009,7,17
sj,2009,8,16
sj,2009,9,16
sj,2009,10,12
sj,2009,11,16
sj,2009,12,13
sj,2009,13,14
sj,2009,14,14
sj,2009,15,14
sj,2009,16,11
sj,2009,17,16
sj,2009,18,18
sj,2009,19,13
sj,2009,20,16
sj,2009,21,19
sj,2009,22,26
sj,2009,23,22
sj,2009,24,22
sj,2009,25,23
sj,2009,26,38
sj,2009,27,32
sj,2009,28,41
sj,2009,29,33
sj,2009,30,33
sj,2009,31,33
sj,2009,32,40
sj,2009,33,41
sj,2009,34,42
sj,2009,35,45
sj,2009,36,41
sj,2009,37,41
sj,2009,38,38
sj,2009,39,44
sj,2009,40,55
sj,2009,41,47
sj,2009,42,46
sj,2009,43,35
sj,2009,44,38
sj,2009,45,34
sj,2009,46,28
sj,2009,47,39
sj,2009,48,30
sj,2009,49,41
sj,2009,50,29
sj,2009,51,38
sj,2009,52,26
sj,2010,53,40
sj,2010,1,21
sj,2010,2,17
sj,2010,3,19
sj,2010,4,19
sj,2010,5,16
sj,2010,6,16
sj,2010,7,15
sj,2010,8,21
sj,2010,9,23
sj,2010,10,15
sj,2010,11,15
sj,2010,12,14
sj,2010,13,21
sj,2010,14,14
sj,2010,15,16
sj,2010,16,21
sj,2010,17,24
sj,2010,18,44
sj,2010,19,25
sj,2010,20,28
sj,2010,21,32
sj,2010,22,38
sj,2010,23,46
sj,2010,24,41
sj,2010,25,32
sj,2010,26,34
sj,2010,27,44
sj,2010,28,50
sj,2010,29,32
sj,2010,30,32
sj,2010,31,34
sj,2010,32,51
sj,2010,33,54
sj,2010,34,67
sj,2010,35,55
sj,2010,36,46
sj,2010,37,44
sj,2010,38,41
sj,2010,39,34
sj,2010,40,47
sj,2010,41,48
sj,2010,42,38
sj,2010,43,34
sj,2010,44,38
sj,2010,45,35
sj,2010,46,25
sj,2010,47,19
sj,2010,48,23
sj,2010,49,21
sj,2010,50,29
sj,2010,51,20
sj,2011,52,24
sj,2011,1,16
sj,2011,2,20
sj,2011,3,16
sj,2011,4,18
sj,2011,5,18
sj,2011,6,16
sj,2011,7,13
sj,2011,8,14
sj,2011,9,15
sj,2011,10,12
sj,2011,11,12
sj,2011,12,15
sj,2011,13,15
sj,2011,14,14
sj,2011,15,14
sj,2011,16,13
sj,2011,17,15
sj,2011,18,16
sj,2011,19,15
sj,2011,20,23
sj,2011,21,20
sj,2011,22,28
sj,2011,23,21
sj,2011,24,35
sj,2011,25,44
sj,2011,26,39
sj,2011,27,34
sj,2011,28,37
sj,2011,29,30
sj,2011,30,42
sj,2011,31,33
sj,2011,32,36
sj,2011,33,37
sj,2011,34,51
sj,2011,35,41
sj,2011,36,40
sj,2011,37,40
sj,2011,38,40
sj,2011,39,34
sj,2011,40,42
sj,2011,41,36
sj,2011,42,38
sj,2011,43,28
sj,2011,44,38
sj,2011,45,37
sj,2011,46,24
sj,2011,47,30
sj,2011,48,31
sj,2011,49,20
sj,2011,50,33
sj,2011,51,21
sj,2012,52,20
sj,2012,1,20
sj,2012,2,17
sj,2012,3,15
