city,year,weekofyear,total_cases
sj,2008,18,3
sj,2008,19,3
sj,2008,20,3
sj,2008,21,5
sj,2008,22,6
sj,2008,23,6
sj,2008,24,7
sj,2008,25,7
sj,2008,26,7
sj,2008,27,9
sj,2008,28,8
sj,2008,29,8
sj,2008,30,6
sj,2008,31,8
sj,2008,32,6
sj,2008,33,5
sj,2008,34,5
sj,2008,35,6
sj,2008,36,5
sj,2008,37,5
sj,2008,38,4
sj,2008,39,6
sj,2008,40,5
sj,2008,41,6
sj,2008,42,5
sj,2008,43,7
sj,2008,44,6
sj,2008,45,6
sj,2008,46,6
sj,2008,47,7
sj,2008,48,6
sj,2008,49,6
sj,2008,50,5
sj,2008,51,7
sj,2008,52,6
sj,2009,1,5
sj,2009,2,5
sj,2009,3,6
sj,2009,4,6
sj,2009,5,6
sj,2009,6,5
sj,2009,7,6
sj,2009,8,6
sj,2009,9,6
sj,2009,10,5
sj,2009,11,7
sj,2009,12,6
sj,2009,13,6
sj,2009,14,5
sj,2009,15,6
sj,2009,16,6
sj,2009,17,5
sj,2009,18,5
sj,2009,19,6
sj,2009,20,6
sj,2009,21,5
sj,2009,22,5
sj,2009,23,6
sj,2009,24,6
sj,2009,25,5
sj,2009,26,5
sj,2009,27,6
sj,2009,28,6
sj,2009,29,5
sj,2009,30,5
sj,2009,31,6
sj,2009,32,6
sj,2009,33,5
sj,2009,34,5
sj,2009,35,6
sj,2009,36,5
sj,2009,37,5
sj,2009,38,5
sj,2009,39,6
sj,2009,40,5
sj,2009,41,5
sj,2009,42,5
sj,2009,43,6
sj,2009,44,5
sj,2009,45,5
sj,2009,46,5
sj,2009,47,6
sj,2009,48,5
sj,2009,49,5
sj,2009,50,5
sj,2009,51,6
sj,2009,52,5
sj,2010,53,5
sj,2010,1,5
sj,2010,2,6
sj,2010,3,5
sj,2010,4,5
sj,2010,5,5
sj,2010,6,6
sj,2010,7,5
sj,2010,8,5
sj,2010,9,5
sj,2010,10,6
sj,2010,11,5
sj,2010,12,5
sj,2010,13,5
sj,2010,14,6
sj,2010,15,5
sj,2010,16,5
sj,2010,17,5
sj,2010,18,6
sj,2010,19,5
sj,2010,20,5
sj,2010,21,4
sj,2010,22,6
sj,2010,23,5
sj,2010,24,5
sj,2010,25,4
sj,2010,26,6
sj,2010,27,5
sj,2010,28,5
sj,2010,29,4
sj,2010,30,6
sj,2010,31,5
sj,2010,32,5
sj,2010,33,4
sj,2010,34,6
sj,2010,35,5
sj,2010,36,5
sj,2010,37,4
sj,2010,38,6
sj,2010,39,5
sj,2010,40,5
sj,2010,41,4
sj,2010,42,6
sj,2010,43,5
sj,2010,44,5
sj,2010,45,4
sj,2010,46,6
sj,2010,47,5
sj,2010,48,5
sj,2010,49,4
sj,2010,50,6
sj,2010,51,5
sj,2011,52,5
sj,2011,1,4
sj,2011,2,5
sj,2011,3,5
sj,2011,4,5
sj,2011,5,4
sj,2011,6,5
sj,2011,7,5
sj,2011,8,5
sj,2011,9,4
sj,2011,10,5
sj,2011,11,5
sj,2011,12,5
sj,2011,13,4
sj,2011,14,5
sj,2011,15,5
sj,2011,16,4
sj,2011,17,4
sj,2011,18,5
sj,2011,19,5
sj,2011,20,4
sj,2011,21,4
sj,2011,22,5
sj,2011,23,5
sj,2011,24,4
sj,2011,25,4
sj,2011,26,5
sj,2011,27,5
sj,2011,28,4
sj,2011,29,4
sj,2011,30,5
sj,2011,31,5
sj,2011,32,4
sj,2011,33,4
sj,2011,34,5
sj,2011,35,4
sj,2011,36,4
sj,2011,37,4
sj,2011,38,5
sj,2011,39,4
sj,2011,40,4
sj,2011,41,4
sj,2011,42,5
sj,2011,43,4
sj,2011,44,4
sj,2011,45,4
sj,2011,46,5
sj,2011,47,4
sj,2011,48,4
sj,2011,49,4
sj,2011,50,5
sj,2011,51,4
sj,2012,52,4
sj,2012,1,4
sj,2012,2,5
sj,2012,3,4
sj,2012,4,4
sj,2012,5,4
sj,2012,6,5
sj,2012,7,4
sj,2012,8,4
sj,2012,9,4
sj,2012,10,5
sj,2012,11,4
sj,2012,12,4
sj,2012,13,4
sj,2012,14,5
sj,2012,15,4
sj,2012,16,4
sj,2012,17,4
sj,2012,18,5
sj,2012,19,4
sj,2012,20,4
sj,2012,21,3
sj,2012,22,5
sj,2012,23,4
sj,2012,24,4
sj,2012,25,3
sj,2012,26,5
sj,2012,27,4
sj,2012,28,4
sj,2012,29,3
sj,2012,30,5
sj,2012,31,4
sj,2012,32,4
sj,2012,33,3
sj,2012,34,5
sj,2012,35,4
sj,2012,36,4
sj,2012,37,3
sj,2012,38,5
sj,2012,39,4
sj,2012,40,4
sj,2012,41,3
sj,2012,42,5
sj,2012,43,4
sj,2012,44,4
sj,2012,45,3
sj,2012,46,5
sj,2012,47,4
sj,2012,48,4
sj,2012,49,3
sj,2012,50,5
sj,2012,51,4
sj,2013,1,4
sj,2013,2,3
sj,2013,3,4
sj,2013,4,4
sj,2013,5,4
sj,2013,6,3
sj,2013,7,4
sj,2013,8,4
sj,2013,9,4
sj,2013,10,3
sj,2013,11,4
sj,2013,12,4
sj,2013,13,4
sj,2013,14,3
sj,2013,15,4
sj,2013,16,4
sj,2013,17,3
iq,2010,26,2
iq,2010,27,4
iq,2010,28,5
iq,2010,29,3
iq,2010,30,2
iq,2010,31,5
iq,2010,32,7
iq,2010,33,3
iq,2010,34,3
iq,2010,35,6
iq,2010,36,7
iq,2010,37,4
iq,2010,38,5
iq,2010,39,7
iq,2010,40,8
iq,2010,41,5
iq,2010,42,6
iq,2010,43,7
iq,2010,44,7
iq,2010,45,5
iq,2010,46,5
iq,2010,47,6
iq,2010,48,7
iq,2010,49,5
iq,2010,50,4
iq,2010,51,5
iq,2011,52,6
iq,2011,1,5
iq,2011,2,4
iq,2011,3,6
iq,2011,4,8
iq,2011,5,5
iq,2011,6,6
iq,2011,7,6
iq,2011,8,7
iq,2011,9,6
iq,2011,10,5
iq,2011,11,6
iq,2011,12,7
iq,2011,13,5
iq,2011,14,5
iq,2011,15,5
iq,2011,16,6
iq,2011,17,5
iq,2011,18,4
iq,2011,19,5
iq,2011,20,7
iq,2011,21,5
iq,2011,22,5
iq,2011,23,6
iq,2011,24,7
iq,2011,25,6
iq,2011,26,6
iq,2011,27,6
iq,2011,28,8
iq,2011,29,5
iq,2011,30,5
iq,2011,31,6
iq,2011,32,7
iq,2011,33,5
iq,2011,34,5
iq,2011,35,6
iq,2011,36,7
iq,2011,37,5
iq,2011,38,5
iq,2011,39,6
iq,2011,40,7
iq,2011,41,6
iq,2011,42,6
iq,2011,43,6
iq,2011,44,8
iq,2011,45,6
iq,2011,46,6
iq,2011,47,6
iq,2011,48,7
iq,2011,49,5
iq,2011,50,5
iq,2011,51,6
iq,2012,52,7
iq,2012,1,5
iq,2012,2,5
iq,2012,3,6
iq,2012,4,7
iq,2012,5,6
iq,2012,6,5
iq,2012,7,6
iq,2012,8,8
iq,2012,9,6
iq,2012,10,6
iq,2012,11,6
iq,2012,12,7
iq,2012,13,6
iq,2012,14,5
iq,2012,15,6
iq,2012,16,7
iq,2012,17,5
iq,2012,18,5
iq,2012,19,6
iq,2012,20,7
iq,2012,21,6
iq,2012,22,5
iq,2012,23,6
iq,2012,24,8
iq,2012,25,6
iq,2012,26,6
iq,2012,27,6
iq,2012,28,7
iq,2012,29,6
iq,2012,30,6
iq,2012,31,6
iq,2012,32,8
iq,2012,33,6
iq,2012,34,5
iq,2012,35,6
iq,2012,36,7
iq,2012,37,6
iq,2012,38,5
iq,2012,39,6
iq,2012,40,8
iq,2012,41,6
iq,2012,42,6
iq,2012,43,6
iq,2012,44,7
iq,2012,45,6
iq,2012,46,6
iq,2012,47,6
iq,2012,48,8
iq,2012,49,6
iq,2012,50,6
iq,2012,51,6
iq,2013,1,7
iq,2013,2,6
