city,year,weekofyear,total_cases
sj,2008,18,3
sj,2008,19,0
sj,2008,20,2
sj,2008,21,8
sj,2008,22,8
sj,2008,23,8
sj,2008,24,10
sj,2008,25,20
sj,2008,26,15
sj,2008,27,10
sj,2008,28,7
sj,2008,29,12
sj,2008,30,18
sj,2008,31,18
sj,2008,32,25
sj,2008,33,28
sj,2008,34,30
sj,2008,35,30
sj,2008,36,42
sj,2008,37,40
sj,2008,38,32
sj,2008,39,45
sj,2008,40,42
sj,2008,41,28
sj,2008,42,35
sj,2008,43,24
sj,2008,44,21
sj,2008,45,26
sj,2008,46,23
sj,2008,47,21
sj,2008,48,14
sj,2008,49,0
sj,2008,50,0
sj,2008,51,4
sj,2008,52,0
sj,2009,1,30
sj,2009,2,17
sj,2009,3,13
sj,2009,4,15
sj,2009,5,13
sj,2009,6,10
sj,2009,7,14
sj,2009,8,9
sj,2009,9,13
sj,2009,10,6
sj,2009,11,0
sj,2009,12,0
sj,2009,13,0
sj,2009,14,0
sj,2009,15,0
sj,2009,16,0
sj,2009,17,0
sj,2009,18,0
sj,2009,19,0
sj,2009,20,0
sj,2009,21,0
sj,2009,22,1
sj,2009,23,8
sj,2009,24,3
sj,2009,25,9
sj,2009,26,14
sj,2009,27,18
sj,2009,28,24
sj,2009,29,18
sj,2009,30,20
sj,2009,31,23
sj,2009,32,18
sj,2009,33,23
sj,2009,34,30
sj,2009,35,33
sj,2009,36,37
sj,2009,37,26
sj,2009,38,35
sj,2009,39,34
sj,2009,40,37
sj,2009,41,42
sj,2009,42,43
sj,2009,43,33
sj,2009,44,33
sj,2009,45,24
sj,2009,46,21
sj,2009,47,35
sj,2009,48,26
sj,2009,49,17
sj,2009,50,15
sj,2009,51,15
sj,2009,52,12
sj,2010,53,27
sj,2010,1,24
sj,2010,2,22
sj,2010,3,21
sj,2010,4,16
sj,2010,5,12
sj,2010,6,21
sj,2010,7,15
sj,2010,8,7
sj,2010,9,9
sj,2010,10,7
sj,2010,11,6
sj,2010,12,8
sj,2010,13,3
sj,2010,14,2
sj,2010,15,0
sj,2010,16,1
sj,2010,17,0
sj,2010,18,14
sj,2010,19,0
sj,2010,20,3
sj,2010,21,11
sj,2010,22,21
sj,2010,23,16
sj,2010,24,15
sj,2010,25,17
sj,2010,26,13
sj,2010,27,16
sj,2010,28,25
sj,2010,29,21
sj,2010,30,14
sj,2010,31,17
sj,2010,32,31
sj,2010,33,27
sj,2010,34,33
sj,2010,35,43
sj,2010,36,41
sj,2010,37,27
sj,2010,38,32
sj,2010,39,23
sj,2010,40,30
sj,2010,41,37
sj,2010,42,30
sj,2010,43,28
sj,2010,44,28
sj,2010,45,32
sj,2010,46,9
sj,2010,47,0
sj,2010,48,0
sj,2010,49,0
sj,2010,50,7
sj,2010,51,3
sj,2011,52,0
sj,2011,1,7
sj,2011,2,15
sj,2011,3,16
sj,2011,4,15
sj,2011,5,13
sj,2011,6,8
sj,2011,7,7
sj,2011,8,7
sj,2011,9,0
sj,2011,10,1
sj,2011,11,0
sj,2011,12,0
sj,2011,13,0
sj,2011,14,0
sj,2011,15,0
sj,2011,16,0
sj,2011,17,0
sj,2011,18,0
sj,2011,19,0
sj,2011,20,11
sj,2011,21,9
sj,2011,22,0
sj,2011,23,0
sj,2011,24,31
sj,2011,25,15
sj,2011,26,13
sj,2011,27,7
sj,2011,28,6
sj,2011,29,12
sj,2011,30,17
sj,2011,31,12
sj,2011,32,23
sj,2011,33,21
sj,2011,34,33
sj,2011,35,26
sj,2011,36,23
sj,2011,37,31
sj,2011,38,23
sj,2011,39,22
sj,2011,40,27
sj,2011,41,23
sj,2011,42,19
sj,2011,43,15
sj,2011,44,17
sj,2011,45,22
sj,2011,46,19
sj,2011,47,6
sj,2011,48,4
sj,2011,49,0
sj,2011,50,10
sj,2011,51,0
sj,2012,52,0
sj,2012,1,17
sj,2012,2,13
sj,2012,3,12
sj,2012,4,12
sj,2012,5,6
sj,2012,6,9
sj,2012,7,5
sj,2012,8,11
sj,2012,9,2
sj,2012,10,1
sj,2012,11,0
sj,2012,12,0
sj,2012,13,1
sj,2012,14,0
sj,2012,15,0
sj,2012,16,2
sj,2012,17,0
sj,2012,18,0
sj,2012,19,0
sj,2012,20,0
sj,2012,21,0
sj,2012,22,0
sj,2012,23,8
sj,2012,24,10
sj,2012,25,17
sj,2012,26,16
sj,2012,27,13
sj,2012,28,11
sj,2012,29,11
sj,2012,30,10
sj,2012,31,14
sj,2012,32,19
sj,2012,33,23
sj,2012,34,21
sj,2012,35,20
sj,2012,36,15
sj,2012,37,25
sj,2012,38,24
sj,2012,39,28
sj,2012,40,28
sj,2012,41,22
sj,2012,42,29
sj,2012,43,26
sj,2012,44,34
sj,2012,45,27
sj,2012,46,27
sj,2012,47,14
sj,2012,48,15
sj,2012,49,6
sj,2012,50,8
sj,2012,51,0
sj,2013,1,11
sj,2013,2,11
sj,2013,3,5
sj,2013,4,8
sj,2013,5,11
sj,2013,6,6
sj,2013,7,9
sj,2013,8,5
sj,2013,9,0
sj,2013,10,0
sj,2013,11,0
sj,2013,12,0
sj,2013,13,0
sj,2013,14,0
sj,2013,15,0
sj,2013,16,0
sj,2013,17,0
iq,2010,26,4
iq,2010,27,3
iq,2010,28,5
iq,2010,29,1
iq,2010,30,5
iq,2010,31,5
iq,2010,32,2
iq,2010,33,5
iq,2010,34,5
iq,2010,35,11
iq,2010,36,9
iq,2010,37,10
iq,2010,38,13
iq,2010,39,8
iq,2010,40,25
iq,2010,41,11
iq,2010,42,14
iq,2010,43,15
iq,2010,44,15
iq,2010,45,21
iq,2010,46,15
iq,2010,47,7
iq,2010,48,18
iq,2010,49,17
iq,2010,50,8
iq,2010,51,9
iq,2011,52,10
iq,2011,1,23
iq,2011,2,23
iq,2011,3,22
iq,2011,4,18
iq,2011,5,18
iq,2011,6,19
iq,2011,7,22
iq,2011,8,13
iq,2011,9,15
iq,2011,10,15
iq,2011,11,13
iq,2011,12,9
iq,2011,13,9
iq,2011,14,10
iq,2011,15,9
iq,2011,16,6
iq,2011,17,6
iq,2011,18,6
iq,2011,19,2
iq,2011,20,1
iq,2011,21,7
iq,2011,22,1
iq,2011,23,3
iq,2011,24,10
iq,2011,25,0
iq,2011,26,0
iq,2011,27,0
iq,2011,28,0
iq,2011,29,3
iq,2011,30,0
iq,2011,31,0
iq,2011,32,4
iq,2011,33,2
iq,2011,34,4
iq,2011,35,3
iq,2011,36,3
iq,2011,37,10
iq,2011,38,9
iq,2011,39,9
iq,2011,40,3
iq,2011,41,9
iq,2011,42,12
iq,2011,43,8
iq,2011,44,6
iq,2011,45,10
iq,2011,46,15
iq,2011,47,9
iq,2011,48,9
iq,2011,49,8
iq,2011,50,6
iq,2011,51,11
iq,2012,52,10
iq,2012,1,25
iq,2012,2,23
iq,2012,3,24
iq,2012,4,22
iq,2012,5,18
iq,2012,6,20
iq,2012,7,20
iq,2012,8,13
iq,2012,9,17
iq,2012,10,15
iq,2012,11,11
iq,2012,12,12
iq,2012,13,10
iq,2012,14,8
iq,2012,15,7
iq,2012,16,9
iq,2012,17,7
iq,2012,18,6
iq,2012,19,3
iq,2012,20,5
iq,2012,21,0
iq,2012,22,2
iq,2012,23,0
iq,2012,24,2
iq,2012,25,2
iq,2012,26,8
iq,2012,27,0
iq,2012,28,2
iq,2012,29,6
iq,2012,30,0
iq,2012,31,0
iq,2012,32,1
iq,2012,33,3
iq,2012,34,6
iq,2012,35,7
iq,2012,36,4
iq,2012,37,5
iq,2012,38,4
iq,2012,39,9
iq,2012,40,9
iq,2012,41,11
iq,2012,42,8
iq,2012,43,14
iq,2012,44,9
iq,2012,45,9
iq,2012,46,15
iq,2012,47,5
iq,2012,48,8
iq,2012,49,9
iq,2012,50,10
iq,2012,51,10
iq,2013,1,21
iq,2013,2,21
iq,2013,3,20
iq,2013,4,18
iq,2013,5,21
iq,2013,6,19
iq,2013,7,18
iq,2013,8,18
iq,2013,9,14
iq,2013,10,12
iq,2013,11,8
iq,2013,12,9
iq,2013,13,10
iq,2013,14,8
iq,2013,15,8
iq,2013,16,9
iq,2013,17,6
iq,2013,18,5
iq,2013,19,6
