city,year,weekofyear,total_cases
sj,2008,18,9
sj,2008,19,11
sj,2008,20,10
sj,2008,21,9
sj,2008,22,10
sj,2008,23,13
sj,2008,24,12
sj,2008,25,12
sj,2008,26,15
sj,2008,27,18
sj,2008,28,16
sj,2008,29,17
sj,2008,30,17
sj,2008,31,17
sj,2008,32,20
sj,2008,33,19
sj,2008,34,24
sj,2008,35,25
sj,2008,36,29
sj,2008,37,27
sj,2008,38,23
sj,2008,39,36
sj,2008,40,22
sj,2008,41,22
sj,2008,42,19
sj,2008,43,19
sj,2008,44,19
sj,2008,45,28
sj,2008,46,21
sj,2008,47,22
sj,2008,48,20
sj,2008,49,13
sj,2008,50,15
sj,2008,51,16
sj,2008,52,12
sj,2009,1,23
sj,2009,2,15
sj,2009,3,17
sj,2009,4,15
sj,2009,5,16
sj,2009,6,14
sj,2009,7,13
sj,2009,8,12
sj,2009,9,9
sj,2009,10,14
sj,2009,11,10
sj,2009,12,8
sj,2009,13,7
sj,2009,14,7
sj,2009,15,8
sj,2009,16,8
sj,2009,17,7
sj,2009,18,9
sj,2009,19,8
sj,2009,20,9
sj,2009,21,8
sj,2009,22,10
sj,2009,23,10
sj,2009,24,9
sj,2009,25,11
sj,2009,26,9
sj,2009,27,12
sj,2009,28,13
sj,2009,29,16
sj,2009,30,15
sj,2009,31,13
sj,2009,32,19
sj,2009,33,17
sj,2009,34,18
sj,2009,35,25
sj,2009,36,18
sj,2009,37,18
sj,2009,38,17
sj,2009,39,18
sj,2009,40,22
sj,2009,41,24
sj,2009,42,28
sj,2009,43,25
sj,2009,44,20
sj,2009,45,19
sj,2009,46,19
sj,2009,47,16
sj,2009,48,17
sj,2009,49,15
sj,2009,50,20
sj,2009,51,15
sj,2009,52,18
sj,2010,53,10
sj,2010,1,17
sj,2010,2,18
sj,2010,3,18
sj,2010,4,17
sj,2010,5,14
sj,2010,6,9
sj,2010,7,14
sj,2010,8,17
sj,2010,9,19
sj,2010,10,13
sj,2010,11,12
sj,2010,12,16
sj,2010,13,16
sj,2010,14,10
sj,2010,15,10
sj,2010,16,12
sj,2010,17,18
sj,2010,18,15
sj,2010,19,12
sj,2010,20,15
sj,2010,21,12
sj,2010,22,25
sj,2010,23,17
sj,2010,24,17
sj,2010,25,18
sj,2010,26,15
sj,2010,27,17
sj,2010,28,15
sj,2010,29,14
sj,2010,30,11
sj,2010,31,14
sj,2010,32,17
sj,2010,33,16
sj,2010,34,20
sj,2010,35,27
sj,2010,36,20
sj,2010,37,20
sj,2010,38,17
sj,2010,39,16
sj,2010,40,16
sj,2010,41,15
sj,2010,42,17
sj,2010,43,19
sj,2010,44,19
sj,2010,45,18
sj,2010,46,13
sj,2010,47,14
sj,2010,48,11
sj,2010,49,7
sj,2010,50,13
sj,2010,51,11
sj,2011,52,10
sj,2011,1,14
sj,2011,2,16
sj,2011,3,19
sj,2011,4,17
sj,2011,5,15
sj,2011,6,14
sj,2011,7,14
sj,2011,8,14
sj,2011,9,10
sj,2011,10,11
sj,2011,11,7
sj,2011,12,8
sj,2011,13,9
sj,2011,14,10
sj,2011,15,9
sj,2011,16,8
sj,2011,17,8
sj,2011,18,10
sj,2011,19,8
sj,2011,20,12
sj,2011,21,17
sj,2011,22,11
sj,2011,23,10
sj,2011,24,24
sj,2011,25,14
sj,2011,26,12
sj,2011,27,10
sj,2011,28,9
sj,2011,29,8
sj,2011,30,11
sj,2011,31,10
sj,2011,32,11
sj,2011,33,11
sj,2011,34,14
sj,2011,35,11
sj,2011,36,11
sj,2011,37,17
sj,2011,38,11
sj,2011,39,14
sj,2011,40,14
sj,2011,41,11
sj,2011,42,12
sj,2011,43,12
sj,2011,44,11
sj,2011,45,9
sj,2011,46,18
sj,2011,47,14
sj,2011,48,12
sj,2011,49,9
sj,2011,50,9
sj,2011,51,10
sj,2012,52,9
sj,2012,1,16
sj,2012,2,18
sj,2012,3,16
sj,2012,4,9
sj,2012,5,14
sj,2012,6,14
sj,2012,7,14
sj,2012,8,11
sj,2012,9,12
sj,2012,10,11
sj,2012,11,10
sj,2012,12,10
sj,2012,13,8
sj,2012,14,8
sj,2012,15,10
sj,2012,16,7
sj,2012,17,6
sj,2012,18,10
sj,2012,19,8
sj,2012,20,11
sj,2012,21,9
sj,2012,22,8
sj,2012,23,9
sj,2012,24,9
sj,2012,25,9
sj,2012,26,9
sj,2012,27,9
sj,2012,28,8
sj,2012,29,8
sj,2012,30,11
sj,2012,31,9
sj,2012,32,9
sj,2012,33,9
sj,2012,34,10
sj,2012,35,9
sj,2012,36,12
sj,2012,37,10
sj,2012,38,10
sj,2012,39,13
sj,2012,40,10
sj,2012,41,11
sj,2012,42,12
sj,2012,43,12
sj,2012,44,13
sj,2012,45,14
sj,2012,46,15
sj,2012,47,11
sj,2012,48,13
sj,2012,49,10
sj,2012,50,12
sj,2012,51,10
sj,2013,1,20
sj,2013,2,16
sj,2013,3,17
sj,2013,4,13
sj,2013,5,11
sj,2013,6,13
sj,2013,7,11
sj,2013,8,12
sj,2013,9,12
sj,2013,10,10
sj,2013,11,7
sj,2013,12,6
sj,2013,13,9
sj,2013,14,9
sj,2013,15,10
sj,2013,16,9
sj,2013,17,7
iq,2010,26,1
iq,2010,27,1
iq,2010,28,2
iq,2010,29,3
iq,2010,30,2
iq,2010,31,2
iq,2010,32,2
iq,2010,33,2
iq,2010,34,3
iq,2010,35,3
iq,2010,36,1
iq,2010,37,3
iq,2010,38,5
iq,2010,39,3
iq,2010,40,5
iq,2010,41,3
iq,2010,42,4
iq,2010,43,2
iq,2010,44,3
iq,2010,45,6
iq,2010,46,3
iq,2010,47,2
iq,2010,48,3
iq,2010,49,2
iq,2010,50,2
iq,2010,51,1
iq,2011,52,3
iq,2011,1,34
iq,2011,2,15
iq,2011,3,21
iq,2011,4,23
iq,2011,5,10
iq,2011,6,21
iq,2011,7,8
iq,2011,8,13
iq,2011,9,8
iq,2011,10,19
iq,2011,11,14
iq,2011,12,5
iq,2011,13,4
iq,2011,14,6
iq,2011,15,2
iq,2011,16,2
iq,2011,17,2
iq,2011,18,3
iq,2011,19,0
iq,2011,20,1
iq,2011,21,1
iq,2011,22,-1
iq,2011,23,2
iq,2011,24,2
iq,2011,25,-1
iq,2011,26,0
iq,2011,27,-2
iq,2011,28,0
iq,2011,29,1
iq,2011,30,0
iq,2011,31,1
iq,2011,32,2
iq,2011,33,1
iq,2011,34,1
iq,2011,35,2
iq,2011,36,1
iq,2011,37,1
iq,2011,38,3
iq,2011,39,1
iq,2011,40,1
iq,2011,41,1
iq,2011,42,0
iq,2011,43,3
iq,2011,44,2
iq,2011,45,1
iq,2011,46,3
iq,2011,47,1
iq,2011,48,1
iq,2011,49,0
iq,2011,50,2
iq,2011,51,1
iq,2012,52,0
iq,2012,1,24
iq,2012,2,24
iq,2012,3,20
iq,2012,4,33
iq,2012,5,10
iq,2012,6,4
iq,2012,7,24
iq,2012,8,13
iq,2012,9,21
iq,2012,10,11
iq,2012,11,1
iq,2012,12,7
iq,2012,13,17
iq,2012,14,2
iq,2012,15,1
iq,2012,16,2
iq,2012,17,5
iq,2012,18,1
iq,2012,19,4
iq,2012,20,10
iq,2012,21,-1
iq,2012,22,0
iq,2012,23,-1
iq,2012,24,3
iq,2012,25,3
iq,2012,26,2
iq,2012,27,0
iq,2012,28,1
iq,2012,29,1
iq,2012,30,8
iq,2012,31,0
iq,2012,32,1
iq,2012,33,2
iq,2012,34,3
iq,2012,35,0
iq,2012,36,0
iq,2012,37,2
iq,2012,38,2
iq,2012,39,2
iq,2012,40,2
iq,2012,41,0
iq,2012,42,0
iq,2012,43,1
iq,2012,44,1
iq,2012,45,1
iq,2012,46,1
iq,2012,47,2
iq,2012,48,1
iq,2012,49,1
iq,2012,50,1
iq,2012,51,-1
iq,2013,1,24
iq,2013,2,15
iq,2013,3,24
iq,2013,4,19
iq,2013,5,33
iq,2013,6,25
iq,2013,7,24
iq,2013,8,12
iq,2013,9,13
iq,2013,10,12
iq,2013,11,5
iq,2013,12,5
iq,2013,13,8
iq,2013,14,6
iq,2013,15,3
iq,2013,16,2
iq,2013,17,1
iq,2013,18,12
iq,2013,19,5
iq,2013,20,0
iq,2013,21,-1
iq,2013,22,2
iq,2013,23,1
iq,2013,24,-1
iq,2013,25,4
iq,2013,26,3
