city,year,weekofyear,total_cases
sj,2008,18,20
sj,2008,19,20
sj,2008,20,20
sj,2008,21,20
sj,2008,22,20
sj,2008,23,20
sj,2008,24,20
sj,2008,25,20
sj,2008,26,20
sj,2008,27,20
sj,2008,28,20
sj,2008,29,24
sj,2008,30,29
sj,2008,31,40
sj,2008,32,41
sj,2008,33,48
sj,2008,34,41
sj,2008,35,52
sj,2008,36,65
sj,2008,37,62
sj,2008,38,45
sj,2008,39,45
sj,2008,40,51
sj,2008,41,45
sj,2008,42,51
sj,2008,43,41
sj,2008,44,41
sj,2008,45,41
sj,2008,46,45
sj,2008,47,41
sj,2008,48,41
sj,2008,49,41
sj,2008,50,41
sj,2008,51,41
sj,2008,52,41
sj,2009,1,22
sj,2009,2,22
sj,2009,3,22
sj,2009,4,22
sj,2009,5,22
sj,2009,6,20
sj,2009,7,20
sj,2009,8,20
sj,2009,9,20
sj,2009,10,20
sj,2009,11,20
sj,2009,12,20
sj,2009,13,20
sj,2009,14,20
sj,2009,15,20
sj,2009,16,20
sj,2009,17,20
sj,2009,18,20
sj,2009,19,20
sj,2009,20,20
sj,2009,21,20
sj,2009,22,20
sj,2009,23,20
sj,2009,24,20
sj,2009,25,20
sj,2009,26,20
sj,2009,27,20
sj,2009,28,20
sj,2009,29,24
sj,2009,30,29
sj,2009,31,40
sj,2009,32,41
sj,2009,33,41
sj,2009,34,41
sj,2009,35,54
sj,2009,36,54
sj,2009,37,45
sj,2009,38,45
sj,2009,39,41
sj,2009,40,54
sj,2009,41,57
sj,2009,42,62
sj,2009,43,45
sj,2009,44,41
sj,2009,45,41
sj,2009,46,41
sj,2009,47,45
sj,2009,48,41
sj,2009,49,41
sj,2009,50,41
sj,2009,51,41
sj,2009,52,41
sj,2010,53,41
sj,2010,1,22
sj,2010,2,22
sj,2010,3,22
sj,2010,4,22
sj,2010,5,22
sj,2010,6,20
sj,2010,7,20
sj,2010,8,20
sj,2010,9,20
sj,2010,10,20
sj,2010,11,20
sj,2010,12,20
sj,2010,13,20
sj,2010,14,20
sj,2010,15,20
sj,2010,16,20
sj,2010,17,20
sj,2010,18,20
sj,2010,19,20
sj,2010,20,20
sj,2010,21,20
sj,2010,22,20
sj,2010,23,20
sj,2010,24,20
sj,2010,25,20
sj,2010,26,20
sj,2010,27,20
sj,2010,28,20
sj,2010,29,24
sj,2010,30,29
sj,2010,31,43
sj,2010,32,65
sj,2010,33,52
sj,2010,34,62
sj,2010,35,65
sj,2010,36,65
sj,2010,37,44
sj,2010,38,45
sj,2010,39,41
sj,2010,40,41
sj,2010,41,52
sj,2010,42,45
sj,2010,43,45
sj,2010,44,41
sj,2010,45,41
sj,2010,46,41
sj,2010,47,41
sj,2010,48,41
sj,2010,49,41
sj,2010,50,41
sj,2010,51,41
sj,2011,52,41
sj,2011,1,22
sj,2011,2,22
sj,2011,3,22
sj,2011,4,22
sj,2011,5,22
sj,2011,6,20
sj,2011,7,20
sj,2011,8,20
sj,2011,9,20
sj,2011,10,20
sj,2011,11,20
sj,2011,12,20
sj,2011,13,20
sj,2011,14,20
sj,2011,15,20
sj,2011,16,20
sj,2011,17,20
sj,2011,18,20
sj,2011,19,20
sj,2011,20,20
sj,2011,21,20
sj,2011,22,20
sj,2011,23,20
sj,2011,24,20
sj,2011,25,20
sj,2011,26,20
sj,2011,27,20
sj,2011,28,20
sj,2011,29,24
sj,2011,30,29
sj,2011,31,40
sj,2011,32,44
sj,2011,33,44
sj,2011,34,44
sj,2011,35,44
sj,2011,36,41
sj,2011,37,44
sj,2011,38,45
sj,2011,39,44
sj,2011,40,52
sj,2011,41,41
sj,2011,42,41
sj,2011,43,41
sj,2011,44,41
sj,2011,45,41
sj,2011,46,41
sj,2011,47,41
sj,2011,48,41
sj,2011,49,41
sj,2011,50,41
sj,2011,51,41
sj,2012,52,41
sj,2012,1,22
sj,2012,2,22
sj,2012,3,22
sj,2012,4,22
sj,2012,5,22
sj,2012,6,20
sj,2012,7,20
sj,2012,8,20
sj,2012,9,20
sj,2012,10,20
sj,2012,11,20
sj,2012,12,20
sj,2012,13,20
sj,2012,14,20
sj,2012,15,20
sj,2012,16,20
sj,2012,17,20
sj,2012,18,20
sj,2012,19,20
sj,2012,20,20
sj,2012,21,20
sj,2012,22,20
sj,2012,23,20
sj,2012,24,20
sj,2012,25,20
sj,2012,26,20
sj,2012,27,20
sj,2012,28,20
sj,2012,29,24
sj,2012,30,29
sj,2012,31,40
sj,2012,32,41
sj,2012,33,44
sj,2012,34,41
sj,2012,35,41
sj,2012,36,41
sj,2012,37,45
sj,2012,38,45
sj,2012,39,48
sj,2012,40,45
sj,2012,41,41
sj,2012,42,44
sj,2012,43,41
sj,2012,44,54
sj,2012,45,41
sj,2012,46,41
sj,2012,47,41
sj,2012,48,41
sj,2012,49,41
sj,2012,50,41
sj,2012,51,41
sj,2013,1,22
sj,2013,2,22
sj,2013,3,22
sj,2013,4,22
sj,2013,5,22
sj,2013,6,20
sj,2013,7,20
sj,2013,8,20
sj,2013,9,20
sj,2013,10,20
sj,2013,11,20
sj,2013,12,20
sj,2013,13,20
sj,2013,14,20
sj,2013,15,20
sj,2013,16,20
sj,2013,17,20
iq,2010,26,7
iq,2010,27,7
iq,2010,28,7
iq,2010,29,7
iq,2010,30,7
iq,2010,31,7
iq,2010,32,7
iq,2010,33,7
iq,2010,34,7
iq,2010,35,7
iq,2010,36,7
iq,2010,37,7
iq,2010,38,7
iq,2010,39,7
iq,2010,40,8
iq,2010,41,8
iq,2010,42,9
iq,2010,43,9
iq,2010,44,8
iq,2010,45,9
iq,2010,46,9
iq,2010,47,8
iq,2010,48,8
iq,2010,49,8
iq,2010,50,8
iq,2010,51,8
iq,2011,52,9
iq,2011,1,8
iq,2011,2,8
iq,2011,3,8
iq,2011,4,8
iq,2011,5,8
iq,2011,6,9
iq,2011,7,8
iq,2011,8,9
iq,2011,9,9
iq,2011,10,8
iq,2011,11,8
iq,2011,12,8
iq,2011,13,8
iq,2011,14,8
iq,2011,15,7
iq,2011,16,7
iq,2011,17,7
iq,2011,18,7
iq,2011,19,7
iq,2011,20,7
iq,2011,21,7
iq,2011,22,7
iq,2011,23,7
iq,2011,24,7
iq,2011,25,7
iq,2011,26,7
iq,2011,27,7
iq,2011,28,7
iq,2011,29,7
iq,2011,30,7
iq,2011,31,7
iq,2011,32,7
iq,2011,33,7
iq,2011,34,7
iq,2011,35,7
iq,2011,36,7
iq,2011,37,7
iq,2011,38,7
iq,2011,39,7
iq,2011,40,8
iq,2011,41,8
iq,2011,42,8
iq,2011,43,9
iq,2011,44,8
iq,2011,45,9
iq,2011,46,9
iq,2011,47,8
iq,2011,48,8
iq,2011,49,8
iq,2011,50,9
iq,2011,51,9
iq,2012,52,9
iq,2012,1,9
iq,2012,2,9
iq,2012,3,8
iq,2012,4,8
iq,2012,5,9
iq,2012,6,9
iq,2012,7,8
iq,2012,8,8
iq,2012,9,9
iq,2012,10,8
iq,2012,11,8
iq,2012,12,8
iq,2012,13,8
iq,2012,14,8
iq,2012,15,7
iq,2012,16,7
iq,2012,17,7
iq,2012,18,7
iq,2012,19,7
iq,2012,20,7
iq,2012,21,7
iq,2012,22,7
iq,2012,23,7
iq,2012,24,7
iq,2012,25,7
iq,2012,26,7
iq,2012,27,7
iq,2012,28,7
iq,2012,29,7
iq,2012,30,7
iq,2012,31,7
iq,2012,32,7
iq,2012,33,7
iq,2012,34,7
iq,2012,35,7
iq,2012,36,7
iq,2012,37,7
iq,2012,38,7
iq,2012,39,7
iq,2012,40,8
iq,2012,41,8
iq,2012,42,8
iq,2012,43,8
iq,2012,44,8
iq,2012,45,8
iq,2012,46,8
iq,2012,47,9
iq,2012,48,8
iq,2012,49,8
iq,2012,50,9
iq,2012,51,9
iq,2013,1,9
iq,2013,2,8
iq,2013,3,8
iq,2013,4,8
iq,2013,5,8
iq,2013,6,8
iq,2013,7,9
iq,2013,8,9
iq,2013,9,9
iq,2013,10,8
iq,2013,11,8
iq,2013,12,8
iq,2013,13,8
iq,2013,14,8
iq,2013,15,7
iq,2013,16,7
iq,2013,17,7
iq,2013,18,7
iq,2013,19,7
iq,2013,20,7
iq,2013,21,7
iq,2013,22,7
iq,2013,23,7
iq,2013,24,7
iq,2013,25,7
iq,2013,26,7
