city,year,weekofyear,total_cases
sj,2008,18,3
sj,2008,19,3
sj,2008,20,3
sj,2008,21,3
sj,2008,22,426
sj,2008,23,3
sj,2008,24,3
sj,2008,25,3
sj,2008,26,10
sj,2008,27,3
sj,2008,28,3
sj,2008,29,3
sj,2008,30,3
sj,2008,31,3
sj,2008,32,3
sj,2008,33,3
sj,2008,34,3
sj,2008,35,3
sj,2008,36,45
sj,2008,37,4
sj,2008,38,6
sj,2008,39,6
sj,2008,40,5
sj,2008,41,3
sj,2008,42,3
sj,2008,43,3
sj,2008,44,3
sj,2008,45,3
sj,2008,46,3
sj,2008,47,3
sj,2008,48,3
sj,2008,49,3
sj,2008,50,3
sj,2008,51,3
sj,2008,52,3
sj,2009,1,5
sj,2009,2,3
sj,2009,3,7
sj,2009,4,3
sj,2009,5,5
sj,2009,6,3
sj,2009,7,3
sj,2009,8,3
sj,2009,9,3
sj,2009,10,3
sj,2009,11,3
sj,2009,12,3
sj,2009,13,3
sj,2009,14,3
sj,2009,15,3
sj,2009,16,3
sj,2009,17,3
sj,2009,18,3
sj,2009,19,3
sj,2009,20,3
sj,2009,21,3
sj,2009,22,3
sj,2009,23,3
sj,2009,24,3
sj,2009,25,3
sj,2009,26,3
sj,2009,27,3
sj,2009,28,3
sj,2009,29,3
sj,2009,30,3
sj,2009,31,3
sj,2009,32,3
sj,2009,33,3
sj,2009,34,3
sj,2009,35,3
sj,2009,36,426
sj,2009,37,3
sj,2009,38,426
sj,2009,39,3
sj,2009,40,3
sj,2009,41,106
sj,2009,42,3
sj,2009,43,112
sj,2009,44,112
sj,2009,45,112
sj,2009,46,3
sj,2009,47,3
sj,2009,48,3
sj,2009,49,112
sj,2009,50,112
sj,2009,51,13
sj,2009,52,112
sj,2010,53,13
sj,2010,1,14
sj,2010,2,5
sj,2010,3,91
sj,2010,4,3
sj,2010,5,9
sj,2010,6,3
sj,2010,7,7
sj,2010,8,3
sj,2010,9,5
sj,2010,10,4
sj,2010,11,5
sj,2010,12,5
sj,2010,13,3
sj,2010,14,3
sj,2010,15,3
sj,2010,16,3
sj,2010,17,5
sj,2010,18,5
sj,2010,19,3
sj,2010,20,10
sj,2010,21,10
sj,2010,22,12
sj,2010,23,3
sj,2010,24,10
sj,2010,25,10
sj,2010,26,5
sj,2010,27,10
sj,2010,28,5
sj,2010,29,10
sj,2010,30,3
sj,2010,31,3
sj,2010,32,4
sj,2010,33,3
sj,2010,34,3
sj,2010,35,10
sj,2010,36,4
sj,2010,37,10
sj,2010,38,112
sj,2010,39,3
sj,2010,40,3
sj,2010,41,3
sj,2010,42,112
sj,2010,43,112
sj,2010,44,3
sj,2010,45,3
sj,2010,46,3
sj,2010,47,3
sj,2010,48,3
sj,2010,49,3
sj,2010,50,3
sj,2010,51,3
sj,2011,52,13
sj,2011,1,3
sj,2011,2,5
sj,2011,3,14
sj,2011,4,7
sj,2011,5,7
sj,2011,6,3
sj,2011,7,3
sj,2011,8,3
sj,2011,9,3
sj,2011,10,3
sj,2011,11,3
sj,2011,12,3
sj,2011,13,3
sj,2011,14,3
sj,2011,15,3
sj,2011,16,3
sj,2011,17,3
sj,2011,18,3
sj,2011,19,3
sj,2011,20,8
sj,2011,21,8
sj,2011,22,3
sj,2011,23,9
sj,2011,24,10
sj,2011,25,13
sj,2011,26,14
sj,2011,27,3
sj,2011,28,3
sj,2011,29,3
sj,2011,30,3
sj,2011,31,10
sj,2011,32,3
sj,2011,33,5
sj,2011,34,3
sj,2011,35,170
sj,2011,36,3
sj,2011,37,6
sj,2011,38,3
sj,2011,39,3
sj,2011,40,131
sj,2011,41,131
sj,2011,42,3
sj,2011,43,3
sj,2011,44,13
sj,2011,45,135
sj,2011,46,3
sj,2011,47,3
sj,2011,48,3
sj,2011,49,3
sj,2011,50,3
sj,2011,51,3
sj,2012,52,9
sj,2012,1,3
sj,2012,2,7
sj,2012,3,3
sj,2012,4,3
sj,2012,5,3
sj,2012,6,3
sj,2012,7,3
sj,2012,8,3
sj,2012,9,3
sj,2012,10,3
sj,2012,11,3
sj,2012,12,3
sj,2012,13,3
sj,2012,14,3
sj,2012,15,3
sj,2012,16,3
sj,2012,17,3
sj,2012,18,3
sj,2012,19,3
sj,2012,20,3
sj,2012,21,3
sj,2012,22,3
sj,2012,23,3
sj,2012,24,3
sj,2012,25,131
sj,2012,26,3
sj,2012,27,3
sj,2012,28,3
sj,2012,29,3
sj,2012,30,3
sj,2012,31,3
sj,2012,32,3
sj,2012,33,5
sj,2012,34,3
sj,2012,35,3
sj,2012,36,131
sj,2012,37,131
sj,2012,38,131
sj,2012,39,131
sj,2012,40,131
sj,2012,41,3
sj,2012,42,5
sj,2012,43,3
sj,2012,44,131
sj,2012,45,112
sj,2012,46,3
sj,2012,47,3
sj,2012,48,3
sj,2012,49,3
sj,2012,50,3
sj,2012,51,3
sj,2013,1,3
sj,2013,2,3
sj,2013,3,3
sj,2013,4,3
sj,2013,5,3
sj,2013,6,3
sj,2013,7,3
sj,2013,8,3
sj,2013,9,3
sj,2013,10,3
sj,2013,11,3
sj,2013,12,3
sj,2013,13,3
sj,2013,14,3
sj,2013,15,3
sj,2013,16,3
sj,2013,17,3
iq,2010,26,2
iq,2010,27,2
iq,2010,28,2
iq,2010,29,5
iq,2010,30,5
iq,2010,31,5
iq,2010,32,2
iq,2010,33,5
iq,2010,34,2
iq,2010,35,2
iq,2010,36,2
iq,2010,37,2
iq,2010,38,2
iq,2010,39,2
iq,2010,40,142
iq,2010,41,5
iq,2010,42,0
iq,2010,43,5
iq,2010,44,5
iq,2010,45,2
iq,2010,46,1
iq,2010,47,5
iq,2010,48,5
iq,2010,49,2
iq,2010,50,2
iq,2010,51,2
iq,2011,52,1
iq,2011,1,5
iq,2011,2,2
iq,2011,3,5
iq,2011,4,5
iq,2011,5,9
iq,2011,6,9
iq,2011,7,9
iq,2011,8,5
iq,2011,9,9
iq,2011,10,5
iq,2011,11,5
iq,2011,12,5
iq,2011,13,2
iq,2011,14,5
iq,2011,15,1
iq,2011,16,1
iq,2011,17,2
iq,2011,18,2
iq,2011,19,1
iq,2011,20,1
iq,2011,21,3
iq,2011,22,2
iq,2011,23,1
iq,2011,24,1
iq,2011,25,1
iq,2011,26,3
iq,2011,27,1
iq,2011,28,3
iq,2011,29,2
iq,2011,30,3
iq,2011,31,2
iq,2011,32,2
iq,2011,33,2
iq,2011,34,5
iq,2011,35,5
iq,2011,36,2
iq,2011,37,1
iq,2011,38,2
iq,2011,39,1
iq,2011,40,2
iq,2011,41,5
iq,2011,42,2
iq,2011,43,2
iq,2011,44,2
iq,2011,45,2
iq,2011,46,2
iq,2011,47,5
iq,2011,48,2
iq,2011,49,2
iq,2011,50,2
iq,2011,51,1
iq,2012,52,9
iq,2012,1,1
iq,2012,2,1
iq,2012,3,3
iq,2012,4,3
iq,2012,5,2
iq,2012,6,256
iq,2012,7,1
iq,2012,8,5
iq,2012,9,3
iq,2012,10,1
iq,2012,11,1
iq,2012,12,1
iq,2012,13,3
iq,2012,14,1
iq,2012,15,2
iq,2012,16,8
iq,2012,17,1
iq,2012,18,2
iq,2012,19,3
iq,2012,20,3
iq,2012,21,1
iq,2012,22,3
iq,2012,23,2
iq,2012,24,5
iq,2012,25,5
iq,2012,26,2
iq,2012,27,2
iq,2012,28,1
iq,2012,29,1
iq,2012,30,3
iq,2012,31,2
iq,2012,32,3
iq,2012,33,5
iq,2012,34,1
iq,2012,35,2
iq,2012,36,3
iq,2012,37,2
iq,2012,38,2
iq,2012,39,2
iq,2012,40,5
iq,2012,41,2
iq,2012,42,5
iq,2012,43,1
iq,2012,44,2
iq,2012,45,2
iq,2012,46,5
iq,2012,47,8
iq,2012,48,2
iq,2012,49,2
iq,2012,50,5
iq,2012,51,2
iq,2013,1,2
iq,2013,2,1
