city,year,weekofyear,total_cases
sj,2008,18,3
sj,2008,19,10
sj,2008,20,7
sj,2008,21,12
sj,2008,22,12
sj,2008,23,12
sj,2008,24,12
sj,2008,25,13
sj,2008,26,18
sj,2008,27,15
sj,2008,28,17
sj,2008,29,14
sj,2008,30,19
sj,2008,31,26
sj,2008,32,15
sj,2008,33,21
sj,2008,34,20
sj,2008,35,27
sj,2008,36,22
sj,2008,37,24
sj,2008,38,36
sj,2008,39,24
sj,2008,40,26
sj,2008,41,20
sj,2008,42,20
sj,2008,43,21
sj,2008,44,20
sj,2008,45,15
sj,2008,46,15
sj,2008,47,18
sj,2008,48,18
sj,2008,49,14
sj,2008,50,8
sj,2008,51,11
sj,2008,52,13
sj,2009,1,7
sj,2009,2,20
sj,2009,3,5
sj,2009,4,7
sj,2009,5,7
sj,2009,6,8
sj,2009,7,6
sj,2009,8,7
sj,2009,9,5
sj,2009,10,11
sj,2009,11,7
sj,2009,12,5
sj,2009,13,4
sj,2009,14,4
sj,2009,15,4
sj,2009,16,5
sj,2009,17,7
sj,2009,18,8
sj,2009,19,10
sj,2009,20,6
sj,2009,21,10
sj,2009,22,10
sj,2009,23,18
sj,2009,24,14
sj,2009,25,15
sj,2009,26,16
sj,2009,27,16
sj,2009,28,17
sj,2009,29,20
sj,2009,30,20
sj,2009,31,19
sj,2009,32,20
sj,2009,33,18
sj,2009,34,19
sj,2009,35,23
sj,2009,36,23
sj,2009,37,19
sj,2009,38,19
sj,2009,39,20
sj,2009,40,19
sj,2009,41,22
sj,2009,42,28
sj,2009,43,27
sj,2009,44,18
sj,2009,45,21
sj,2009,46,16
sj,2009,47,16
sj,2009,48,19
sj,2009,49,19
sj,2009,50,19
sj,2009,51,14
sj,2009,52,22
sj,2010,53,11
sj,2010,1,21
sj,2010,2,12
sj,2010,3,8
sj,2010,4,11
sj,2010,5,9
sj,2010,6,5
sj,2010,7,15
sj,2010,8,10
sj,2010,9,7
sj,2010,10,13
sj,2010,11,7
sj,2010,12,7
sj,2010,13,12
sj,2010,14,12
sj,2010,15,8
sj,2010,16,7
sj,2010,17,12
sj,2010,18,10
sj,2010,19,16
sj,2010,20,12
sj,2010,21,17
sj,2010,22,19
sj,2010,23,23
sj,2010,24,19
sj,2010,25,21
sj,2010,26,19
sj,2010,27,17
sj,2010,28,19
sj,2010,29,22
sj,2010,30,19
sj,2010,31,20
sj,2010,32,19
sj,2010,33,21
sj,2010,34,19
sj,2010,35,24
sj,2010,36,25
sj,2010,37,28
sj,2010,38,21
sj,2010,39,22
sj,2010,40,20
sj,2010,41,23
sj,2010,42,29
sj,2010,43,26
sj,2010,44,17
sj,2010,45,16
sj,2010,46,20
sj,2010,47,11
sj,2010,48,9
sj,2010,49,8
sj,2010,50,12
sj,2010,51,10
sj,2011,52,10
sj,2011,1,11
sj,2011,2,3
sj,2011,3,7
sj,2011,4,7
sj,2011,5,7
sj,2011,6,6
sj,2011,7,6
sj,2011,8,8
sj,2011,9,6
sj,2011,10,3
sj,2011,11,4
sj,2011,12,3
sj,2011,13,6
sj,2011,14,7
sj,2011,15,11
sj,2011,16,8
sj,2011,17,10
sj,2011,18,5
sj,2011,19,9
sj,2011,20,6
sj,2011,21,16
sj,2011,22,16
sj,2011,23,17
sj,2011,24,14
sj,2011,25,25
sj,2011,26,21
sj,2011,27,20
sj,2011,28,17
sj,2011,29,21
sj,2011,30,19
sj,2011,31,21
sj,2011,32,19
sj,2011,33,25
sj,2011,34,23
sj,2011,35,26
sj,2011,36,21
sj,2011,37,22
sj,2011,38,24
sj,2011,39,18
sj,2011,40,23
sj,2011,41,26
sj,2011,42,19
sj,2011,43,17
sj,2011,44,14
sj,2011,45,20
