city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,4
sj,2008,20,4
sj,2008,21,6
sj,2008,22,6
sj,2008,23,8
sj,2008,24,8
sj,2008,25,10
sj,2008,26,10
sj,2008,27,10
sj,2008,28,9
sj,2008,29,11
sj,2008,30,10
sj,2008,31,13
sj,2008,32,16
sj,2008,33,15
sj,2008,34,16
sj,2008,35,19
sj,2008,36,29
sj,2008,37,33
sj,2008,38,22
sj,2008,39,35
sj,2008,40,21
sj,2008,41,18
sj,2008,42,20
sj,2008,43,19
sj,2008,44,14
sj,2008,45,18
sj,2008,46,18
sj,2008,47,15
sj,2008,48,11
sj,2008,49,5
sj,2008,50,7
sj,2008,51,8
sj,2008,52,5
sj,2009,1,28
sj,2009,2,14
sj,2009,3,21
sj,2009,4,16
sj,2009,5,16
sj,2009,6,11
sj,2009,7,9
sj,2009,8,7
sj,2009,9,6
sj,2009,10,8
sj,2009,11,4
sj,2009,12,4
sj,2009,13,4
sj,2009,14,2
sj,2009,15,3
sj,2009,16,4
sj,2009,17,3
sj,2009,18,4
sj,2009,19,2
sj,2009,20,3
sj,2009,21,3
sj,2009,22,5
sj,2009,23,7
sj,2009,24,6
sj,2009,25,8
sj,2009,26,9
sj,2009,27,12
sj,2009,28,14
sj,2009,29,14
sj,2009,30,14
sj,2009,31,14
sj,2009,32,17
sj,2009,33,16
sj,2009,34,21
sj,2009,35,24
sj,2009,36,22
sj,2009,37,17
sj,2009,38,19
sj,2009,39,22
sj,2009,40,28
sj,2009,41,32
sj,2009,42,30
sj,2009,43,25
sj,2009,44,22
sj,2009,45,19
sj,2009,46,19
sj,2009,47,22
sj,2009,48,18
sj,2009,49,13
sj,2009,50,16
sj,2009,51,11
sj,2009,52,13
sj,2010,53,13
sj,2010,1,24
sj,2010,2,20
sj,2010,3,18
sj,2010,4,16
sj,2010,5,10
sj,2010,6,11
sj,2010,7,12
sj,2010,8,10
sj,2010,9,13
sj,2010,10,4
sj,2010,11,6
sj,2010,12,10
sj,2010,13,9
sj,2010,14,5
sj,2010,15,3
sj,2010,16,4
sj,2010,17,8
sj,2010,18,10
sj,2010,19,6
sj,2010,20,7
sj,2010,21,9
sj,2010,22,15
sj,2010,23,16
sj,2010,24,15
sj,2010,25,13
sj,2010,26,14
sj,2010,27,16
sj,2010,28,17
sj,2010,29,14
sj,2010,30,12
sj,2010,31,17
sj,2010,32,20
sj,2010,33,23
sj,2010,34,24
sj,2010,35,35
sj,2010,36,28
sj,2010,37,25
sj,2010,38,23
sj,2010,39,20
sj,2010,40,25
sj,2010,41,26
sj,2010,42,21
sj,2010,43,25
sj,2010,44,18
sj,2010,45,19
sj,2010,46,11
sj,2010,47,10
sj,2010,48,7
sj,2010,49,5
sj,2010,50,11
sj,2010,51,7
sj,2011,52,5
sj,2011,1,11
sj,2011,2,17
sj,2011,3,16
sj,2011,4,13
sj,2011,5,10
sj,2011,6,8
sj,2011,7,10
sj,2011,8,6
sj,2011,9,4
sj,2011,10,5
sj,2011,11,3
sj,2011,12,3
sj,2011,13,3
sj,2011,14,4
sj,2011,15,3
sj,2011,16,3
sj,2011,17,3
sj,2011,18,4
sj,2011,19,3
sj,2011,20,5
sj,2011,21,6
sj,2011,22,7
sj,2011,23,5
sj,2011,24,15
sj,2011,25,13
sj,2011,26,13
sj,2011,27,10
sj,2011,28,9
sj,2011,29,10
sj,2011,30,16
sj,2011,31,12
sj,2011,32,16
sj,2011,33,15
sj,2011,34,20
sj,2011,35,20
sj,2011,36,18
sj,2011,37,24
sj,2011,38,18
sj,2011,39,20
sj,2011,40,23
sj,2011,41,19
sj,2011,42,17
sj,2011,43,16
sj,2011,44,16
sj,2011,45,17
sj,2011,46,21
sj,2011,47,11
sj,2011,48,11
sj,2011,49,8
sj,2011,50,8
sj,2011,51,5
sj,2012,52,5
sj,2012,1,16
sj,2012,2,12
sj,2012,3,12
sj,2012,4,8
sj,2012,5,7
sj,2012,6,7
sj,2012,7,8
sj,2012,8,5
sj,2012,9,5
sj,2012,10,4
sj,2012,11,3
sj,2012,12,3
sj,2012,13,2
sj,2012,14,2
sj,2012,15,3
sj,2012,16,3
sj,2012,17,3
sj,2012,18,5
sj,2012,19,3
sj,2012,20,7
sj,2012,21,4
sj,2012,22,6
sj,2012,23,11
sj,2012,24,11
sj,2012,25,15
sj,2012,26,14
sj,2012,27,13
sj,2012,28,11
sj,2012,29,14
sj,2012,30,16
sj,2012,31,16
sj,2012,32,16
sj,2012,33,18
sj,2012,34,21
sj,2012,35,15
sj,2012,36,19
sj,2012,37,20
sj,2012,38,20
sj,2012,39,28
sj,2012,40,23
sj,2012,41,20
sj,2012,42,22
sj,2012,43,22
sj,2012,44,31
sj,2012,45,22
sj,2012,46,21
sj,2012,47,15
sj,2012,48,18
sj,2012,49,11
sj,2012,50,13
sj,2012,51,9
sj,2013,1,10
sj,2013,2,12
sj,2013,3,7
sj,2013,4,7
sj,2013,5,8
sj,2013,6,5
sj,2013,7,5
sj,2013,8,5
sj,2013,9,4
sj,2013,10,3
sj,2013,11,2
sj,2013,12,2
sj,2013,13,4
sj,2013,14,4
sj,2013,15,5
sj,2013,16,4
sj,2013,17,3
iq,2010,26,2
iq,2010,27,2
iq,2010,28,2
iq,2010,29,2
iq,2010,30,2
iq,2010,31,3
iq,2010,32,2
iq,2010,33,2
iq,2010,34,2
iq,2010,35,2
iq,2010,36,2
iq,2010,37,2
iq,2010,38,3
iq,2010,39,2
iq,2010,40,3
iq,2010,41,3
iq,2010,42,4
iq,2010,43,3
iq,2010,44,5
iq,2010,45,3
iq,2010,46,2
iq,2010,47,4
iq,2010,48,4
iq,2010,49,3
iq,2010,50,3
iq,2010,51,2
iq,2011,52,2
iq,2011,1,17
iq,2011,2,15
iq,2011,3,17
iq,2011,4,13
iq,2011,5,11
iq,2011,6,18
iq,2011,7,12
iq,2011,8,11
iq,2011,9,8
iq,2011,10,11
iq,2011,11,7
iq,2011,12,6
iq,2011,13,5
iq,2011,14,6
iq,2011,15,4
iq,2011,16,4
iq,2011,17,5
iq,2011,18,4
iq,2011,19,2
iq,2011,20,2
iq,2011,21,3
iq,2011,22,2
iq,2011,23,2
iq,2011,24,2
iq,2011,25,1
iq,2011,26,2
iq,2011,27,1
iq,2011,28,2
iq,2011,29,2
iq,2011,30,1
iq,2011,31,2
iq,2011,32,3
iq,2011,33,1
iq,2011,34,2
iq,2011,35,2
iq,2011,36,2
iq,2011,37,1
iq,2011,38,2
iq,2011,39,1
iq,2011,40,1
iq,2011,41,2
iq,2011,42,2
iq,2011,43,3
iq,2011,44,3
iq,2011,45,2
iq,2011,46,2
iq,2011,47,2
iq,2011,48,2
iq,2011,49,1
iq,2011,50,2
iq,2011,51,1
iq,2012,52,2
iq,2012,1,12
iq,2012,2,16
iq,2012,3,17
iq,2012,4,14
iq,2012,5,10
iq,2012,6,6
iq,2012,7,13
iq,2012,8,11
iq,2012,9,12
iq,2012,10,9
iq,2012,11,6
iq,2012,12,7
iq,2012,13,11
iq,2012,14,5
iq,2012,15,5
iq,2012,16,4
iq,2012,17,3
iq,2012,18,3
iq,2012,19,3
iq,2012,20,4
iq,2012,21,2
iq,2012,22,3
iq,2012,23,2
iq,2012,24,3
iq,2012,25,3
iq,2012,26,2
iq,2012,27,2
iq,2012,28,2
iq,2012,29,2
iq,2012,30,3
iq,2012,31,2
iq,2012,32,3
iq,2012,33,2
iq,2012,34,3
iq,2012,35,2
iq,2012,36,2
iq,2012,37,2
iq,2012,38,2
iq,2012,39,2
iq,2012,40,2
iq,2012,41,1
iq,2012,42,1
iq,2012,43,2
iq,2012,44,2
iq,2012,45,2
iq,2012,46,2
iq,2012,47,2
iq,2012,48,2
iq,2012,49,2
iq,2012,50,1
iq,2012,51,2
iq,2013,1,12
iq,2013,2,8
iq,2013,3,10
iq,2013,4,14
iq,2013,5,11
iq,2013,6,15
iq,2013,7,13
iq,2013,8,10
iq,2013,9,7
iq,2013,10,8
iq,2013,11,5
iq,2013,12,7
iq,2013,13,8
iq,2013,14,7
iq,2013,15,5
iq,2013,16,4
iq,2013,17,3
iq,2013,18,6
iq,2013,19,3
iq,2013,20,2
iq,2013,21,2
iq,2013,22,3
iq,2013,23,2
iq,2013,24,1
iq,2013,25,1
iq,2013,26,2
