city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,4
sj,2008,20,4
sj,2008,21,6
sj,2008,22,5
sj,2008,23,9
sj,2008,24,7
sj,2008,25,9
sj,2008,26,8
sj,2008,27,9
sj,2008,28,7
sj,2008,29,9
sj,2008,30,10
sj,2008,31,9
sj,2008,32,12
sj,2008,33,13
sj,2008,34,15
sj,2008,35,14
sj,2008,36,17
sj,2008,37,24
sj,2008,38,15
sj,2008,39,21
sj,2008,40,12
sj,2008,41,13
sj,2008,42,15
sj,2008,43,13
sj,2008,44,10
sj,2008,45,11
sj,2008,46,12
sj,2008,47,11
sj,2008,48,9
sj,2008,49,7
sj,2008,50,7
sj,2008,51,7
sj,2008,52,6
sj,2009,1,24
sj,2009,2,7
sj,2009,3,9
sj,2009,4,8
sj,2009,5,7
sj,2009,6,5
sj,2009,7,5
sj,2009,8,3
sj,2009,9,4
sj,2009,10,3
sj,2009,11,2
sj,2009,12,1
sj,2009,13,1
sj,2009,14,0
sj,2009,15,1
sj,2009,16,2
sj,2009,17,2
sj,2009,18,3
sj,2009,19,1
sj,2009,20,3
sj,2009,21,3
sj,2009,22,6
sj,2009,23,5
sj,2009,24,5
sj,2009,25,7
sj,2009,26,6
sj,2009,27,7
sj,2009,28,9
sj,2009,29,9
sj,2009,30,8
sj,2009,31,10
sj,2009,32,9
sj,2009,33,9
sj,2009,34,13
sj,2009,35,12
sj,2009,36,11
sj,2009,37,10
sj,2009,38,12
sj,2009,39,12
sj,2009,40,15
sj,2009,41,18
sj,2009,42,16
sj,2009,43,10
sj,2009,44,12
sj,2009,45,11
sj,2009,46,11
sj,2009,47,14
sj,2009,48,11
sj,2009,49,10
sj,2009,50,9
sj,2009,51,11
sj,2009,52,8
sj,2010,53,10
sj,2010,1,13
sj,2010,2,10
sj,2010,3,13
sj,2010,4,9
sj,2010,5,5
sj,2010,6,8
sj,2010,7,6
sj,2010,8,6
sj,2010,9,8
sj,2010,10,3
sj,2010,11,3
sj,2010,12,5
sj,2010,13,5
sj,2010,14,2
sj,2010,15,1
sj,2010,16,4
sj,2010,17,7
sj,2010,18,6
sj,2010,19,5
sj,2010,20,7
sj,2010,21,7
sj,2010,22,13
sj,2010,23,10
sj,2010,24,9
sj,2010,25,9
sj,2010,26,8
sj,2010,27,7
sj,2010,28,9
sj,2010,29,9
sj,2010,30,8
sj,2010,31,7
sj,2010,32,10
sj,2010,33,10
sj,2010,34,11
sj,2010,35,14
sj,2010,36,16
sj,2010,37,11
sj,2010,38,11
sj,2010,39,10
sj,2010,40,14
sj,2010,41,18
sj,2010,42,11
sj,2010,43,9
sj,2010,44,8
sj,2010,45,11
sj,2010,46,7
sj,2010,47,5
sj,2010,48,4
sj,2010,49,6
sj,2010,50,7
sj,2010,51,6
sj,2011,52,5
sj,2011,1,7
sj,2011,2,8
sj,2011,3,7
sj,2011,4,6
sj,2011,5,4
sj,2011,6,4
sj,2011,7,4
sj,2011,8,3
sj,2011,9,1
sj,2011,10,1
sj,2011,11,0
sj,2011,12,1
sj,2011,13,1
sj,2011,14,2
sj,2011,15,1
sj,2011,16,1
sj,2011,17,1
sj,2011,18,3
sj,2011,19,1
sj,2011,20,3
sj,2011,21,4
sj,2011,22,5
sj,2011,23,4
sj,2011,24,9
sj,2011,25,6
sj,2011,26,7
sj,2011,27,6
sj,2011,28,5
sj,2011,29,5
sj,2011,30,7
sj,2011,31,5
sj,2011,32,9
sj,2011,33,7
sj,2011,34,12
sj,2011,35,9
sj,2011,36,8
sj,2011,37,10
sj,2011,38,10
sj,2011,39,8
sj,2011,40,10
sj,2011,41,9
sj,2011,42,7
sj,2011,43,6
sj,2011,44,6
sj,2011,45,11
sj,2011,46,7
sj,2011,47,5
sj,2011,48,5
sj,2011,49,4
sj,2011,50,11
sj,2011,51,4
sj,2012,52,5
sj,2012,1,8
sj,2012,2,6
sj,2012,3,5
sj,2012,4,5
sj,2012,5,3
sj,2012,6,3
sj,2012,7,3
sj,2012,8,2
sj,2012,9,2
sj,2012,10,1
sj,2012,11,1
sj,2012,12,1
sj,2012,13,2
sj,2012,14,2
sj,2012,15,2
sj,2012,16,2
sj,2012,17,0
sj,2012,18,2
sj,2012,19,2
sj,2012,20,3
sj,2012,21,2
sj,2012,22,2
sj,2012,23,4
sj,2012,24,4
sj,2012,25,6
sj,2012,26,5
sj,2012,27,5
sj,2012,28,5
sj,2012,29,6
sj,2012,30,5
sj,2012,31,6
sj,2012,32,7
sj,2012,33,7
sj,2012,34,8
sj,2012,35,8
sj,2012,36,6
sj,2012,37,8
sj,2012,38,9
sj,2012,39,9
sj,2012,40,10
sj,2012,41,8
sj,2012,42,8
sj,2012,43,8
sj,2012,44,9
sj,2012,45,9
sj,2012,46,8
sj,2012,47,7
sj,2012,48,7
sj,2012,49,6
sj,2012,50,5
sj,2012,51,4
sj,2013,1,6
sj,2013,2,6
sj,2013,3,3
sj,2013,4,3
sj,2013,5,4
sj,2013,6,2
sj,2013,7,2
sj,2013,8,1
sj,2013,9,1
sj,2013,10,1
sj,2013,11,1
sj,2013,12,0
sj,2013,13,1
sj,2013,14,1
sj,2013,15,1
sj,2013,16,1
sj,2013,17,1
iq,2010,26,0
iq,2010,27,1
iq,2010,28,2
iq,2010,29,0
iq,2010,30,3
iq,2010,31,3
iq,2010,32,3
iq,2010,33,0
iq,2010,34,2
iq,2010,35,4
iq,2010,36,1
iq,2010,37,0
iq,2010,38,5
iq,2010,39,3
iq,2010,40,12
iq,2010,41,3
iq,2010,42,5
iq,2010,43,2
iq,2010,44,3
iq,2010,45,11
iq,2010,46,3
iq,2010,47,3
iq,2010,48,2
iq,2010,49,2
iq,2010,50,2
iq,2010,51,-1
iq,2011,52,2
iq,2011,1,26
iq,2011,2,15
iq,2011,3,16
iq,2011,4,17
iq,2011,5,11
iq,2011,6,17
iq,2011,7,11
iq,2011,8,10
iq,2011,9,7
iq,2011,10,10
iq,2011,11,11
iq,2011,12,5
iq,2011,13,4
iq,2011,14,6
iq,2011,15,2
iq,2011,16,4
iq,2011,17,3
iq,2011,18,3
iq,2011,19,-2
iq,2011,20,4
iq,2011,21,4
iq,2011,22,-1
iq,2011,23,3
iq,2011,24,2
iq,2011,25,-2
iq,2011,26,-1
iq,2011,27,-3
iq,2011,28,-1
iq,2011,29,0
iq,2011,30,0
iq,2011,31,3
iq,2011,32,5
iq,2011,33,2
iq,2011,34,2
iq,2011,35,2
iq,2011,36,0
iq,2011,37,1
iq,2011,38,4
iq,2011,39,1
iq,2011,40,-2
iq,2011,41,1
iq,2011,42,1
iq,2011,43,5
iq,2011,44,2
iq,2011,45,0
iq,2011,46,4
iq,2011,47,0
iq,2011,48,1
iq,2011,49,-1
iq,2011,50,1
iq,2011,51,-1
iq,2012,52,0
iq,2012,1,11
iq,2012,2,15
iq,2012,3,12
iq,2012,4,16
iq,2012,5,10
iq,2012,6,6
iq,2012,7,11
iq,2012,8,12
iq,2012,9,10
iq,2012,10,8
iq,2012,11,4
iq,2012,12,8
iq,2012,13,12
iq,2012,14,4
iq,2012,15,3
iq,2012,16,3
iq,2012,17,4
iq,2012,18,0
iq,2012,19,3
iq,2012,20,6
iq,2012,21,1
iq,2012,22,3
iq,2012,23,0
iq,2012,24,3
iq,2012,25,2
iq,2012,26,2
iq,2012,27,-1
iq,2012,28,1
iq,2012,29,2
iq,2012,30,4
iq,2012,31,-1
iq,2012,32,2
iq,2012,33,-1
iq,2012,34,4
iq,2012,35,-2
iq,2012,36,1
iq,2012,37,3
iq,2012,38,4
iq,2012,39,4
iq,2012,40,2
iq,2012,41,0
iq,2012,42,0
iq,2012,43,1
iq,2012,44,2
iq,2012,45,2
iq,2012,46,3
iq,2012,47,0
iq,2012,48,-1
iq,2012,49,1
iq,2012,50,-2
iq,2012,51,-1
iq,2013,1,15
iq,2013,2,8
iq,2013,3,11
iq,2013,4,13
iq,2013,5,17
iq,2013,6,15
iq,2013,7,13
iq,2013,8,10
iq,2013,9,9
iq,2013,10,5
iq,2013,11,5
iq,2013,12,5
iq,2013,13,6
iq,2013,14,5
iq,2013,15,4
iq,2013,16,4
iq,2013,17,0
iq,2013,18,14
iq,2013,19,6
iq,2013,20,0
iq,2013,21,0
iq,2013,22,4
iq,2013,23,0
iq,2013,24,-1
iq,2013,25,-1
iq,2013,26,4
