Month-Year,Rainfall (mm),Site,Place,Region,Collection,Aedes aegypti
01.06.2014,98.6,1,1,1,1,0
01.07.2014,35.8,1,1,1,1,1
01.08.2014,89.9,1,1,1,1,0
01.09.2014,155.7,1,1,1,1,0
01.10.2014,207.6,1,1,1,1,3
01.11.2014,104.5,1,1,1,1,0
01.12.2014,137.3,1,1,1,1,0
01.01.2015,3.6,1,1,1,1,0
01.02.2015,63.5,1,1,1,1,0
01.03.2015,144.3,1,1,1,1,0
01.04.2015,331.5,1,1,1,1,0
01.05.2015,259.7,1,1,1,1,0
01.06.2015,158.0,1,1,1,1,0
01.07.2015,38.4,1,1,1,1,0
01.08.2015,9.9,1,1,1,1,0
01.09.2015,14.2,1,1,1,1,0
01.10.2015,203.2,1,1,1,1,0
01.11.2015,260.9,1,1,1,1,0
01.12.2015,181.1,1,1,1,1,0
01.01.2016,127.5,1,1,1,1,0
01.02.2016,0.3,1,1,1,1,0
01.03.2016,81.8,1,1,1,1,0
01.04.2016,309.9,1,1,1,1,0
01.05.2016,59.9,1,1,1,1,0
01.06.2016,26.2,1,1,1,1,0
01.06.2014,98.6,1,1,1,2,0
01.07.2014,35.8,1,1,1,2,0
01.08.2014,89.9,1,1,1,2,0
01.09.2014,155.7,1,1,1,2,0
01.10.2014,207.6,1,1,1,2,2
01.11.2014,104.5,1,1,1,2,3
01.12.2014,137.3,1,1,1,2,0
01.01.2015,3.6,1,1,1,2,1
01.02.2015,63.5,1,1,1,2,0
01.03.2015,144.3,1,1,1,2,1
01.04.2015,331.5,1,1,1,2,3
01.05.2015,259.7,1,1,1,2,7
01.06.2015,158.0,1,1,1,2,11
01.07.2015,38.4,1,1,1,2,8
01.08.2015,9.9,1,1,1,2,10
01.09.2015,14.2,1,1,1,2,1
01.10.2015,203.2,1,1,1,2,6
01.11.2015,260.9,1,1,1,2,2
01.12.2015,181.1,1,1,1,2,8
01.01.2016,127.5,1,1,1,2,3
01.02.2016,0.3,1,1,1,2,2
01.03.2016,81.8,1,1,1,2,2
01.04.2016,309.9,1,1,1,2,4
01.05.2016,59.9,1,1,1,2,6
01.06.2016,26.2,1,1,1,2,7
01.06.2014,121.9,2,2,1,1,0
01.07.2014,89.7,2,2,1,1,0
01.08.2014,133.9,2,2,1,1,0
01.09.2014,133.9,2,2,1,1,0
01.10.2014,132.8,2,2,1,1,0
01.11.2014,44.2,2,2,1,1,2
01.12.2014,84.1,2,2,1,1,1
01.01.2015,0.8,2,2,1,1,1
01.02.2015,25.7,2,2,1,1,0
01.03.2015,163.6,2,2,1,1,0
01.04.2015,275.1,2,2,1,1,0
01.05.2015,120.9,2,2,1,1,1
01.06.2015,46.0,2,2,1,1,1
01.07.2015,41.7,2,2,1,1,0
01.08.2015,4.1,2,2,1,1,0
01.09.2015,0.0,2,2,1,1,0
01.10.2015,0.0,2,2,1,1,0
01.11.2015,18.5,2,2,1,1,0
01.12.2015,192.1,2,2,1,1,0
01.01.2016,91.9,2,2,1,1,0
01.02.2016,5.6,2,2,1,1,0
01.03.2016,101.3,2,2,1,1,1
01.04.2016,257.3,2,2,1,1,0
01.05.2016,180.3,2,2,1,1,0
01.06.2016,35.8,2,2,1,1,0
01.06.2014,121.9,2,2,1,2,3
01.07.2014,89.7,2,2,1,2,1
01.08.2014,133.9,2,2,1,2,0
01.09.2014,133.9,2,2,1,2,2
01.10.2014,132.8,2,2,1,2,0
01.11.2014,44.2,2,2,1,2,1
01.12.2014,84.1,2,2,1,2,0
01.01.2015,0.8,2,2,1,2,0
01.02.2015,25.7,2,2,1,2,0
01.03.2015,163.6,2,2,1,2,0
01.04.2015,275.1,2,2,1,2,1
01.05.2015,120.9,2,2,1,2,9
01.06.2015,46.0,2,2,1,2,4
01.07.2015,41.7,2,2,1,2,9
01.08.2015,4.1,2,2,1,2,4
01.09.2015,153.8,2,2,1,2,8
01.10.2015,199.7,2,2,1,2,12
01.11.2015,142.6,2,2,1,2,16
01.12.2015,192.1,2,2,1,2,11
01.01.2016,91.9,2,2,1,2,6
01.02.2016,5.6,2,2,1,2,6
01.03.2016,101.3,2,2,1,2,9
01.04.2016,257.3,2,2,1,2,18
01.05.2016,180.3,2,2,1,2,22
01.06.2016,35.8,2,2,1,2,17
01.06.2014,194.1,3,1,2,1,1
01.07.2014,158.5,3,1,2,1,0
01.08.2014,66.0,3,1,2,1,0
01.09.2014,15.5,3,1,2,1,0
01.10.2014,90.4,3,1,2,1,0
01.11.2014,151.1,3,1,2,1,0
01.12.2014,114.6,3,1,2,1,2
01.01.2015,0.0,3,1,2,1,0
01.02.2015,0.0,3,1,2,1,0
01.03.2015,105.7,3,1,2,1,0
01.04.2015,140.2,3,1,2,1,0
01.05.2015,414.8,3,1,2,1,0
01.06.2015,63.5,3,1,2,1,1
01.07.2015,83.1,3,1,2,1,1
01.08.2015,39.6,3,1,2,1,0
01.09.2015,43.9,3,1,2,1,0
01.10.2015,76.5,3,1,2,1,0
01.11.2015,210.8,3,1,2,1,0
01.12.2015,50.6,3,1,2,1,0
01.01.2016,9.1,3,1,2,1,0
01.02.2016,5.1,3,1,2,1,0
01.03.2016,2.3,3,1,2,1,0
01.04.2016,436.9,3,1,2,1,0
01.05.2016,127.3,3,1,2,1,1
01.06.2016,93.5,3,1,2,1,0
01.06.2014,194.1,3,1,2,2,0
01.07.2014,158.5,3,1,2,2,3
01.08.2014,66.0,3,1,2,2,0
01.09.2014,15.5,3,1,2,2,0
01.10.2014,90.4,3,1,2,2,0
01.11.2014,151.1,3,1,2,2,0
01.12.2014,114.6,3,1,2,2,0
01.01.2015,0.0,3,1,2,2,0
01.02.2015,0.0,3,1,2,2,0
01.03.2015,105.7,3,1,2,2,1
01.04.2015,140.2,3,1,2,2,1
01.05.2015,414.8,3,1,2,2,1
01.06.2015,63.5,3,1,2,2,0
01.07.2015,83.1,3,1,2,2,2
01.08.2015,39.6,3,1,2,2,0
01.09.2015,43.9,3,1,2,2,0
01.10.2015,76.5,3,1,2,2,1
01.11.2015,210.8,3,1,2,2,1
01.12.2015,50.6,3,1,2,2,0
01.01.2016,9.1,3,1,2,2,0
01.02.2016,5.1,3,1,2,2,0
01.03.2016,2.3,3,1,2,2,0
01.04.2016,436.9,3,1,2,2,1
01.05.2016,127.3,3,1,2,2,2
01.06.2016,93.5,3,1,2,2,0
01.06.2014,93.0,4,2,2,1,0
01.07.2014,57.9,4,2,2,1,0
01.08.2014,41.9,4,2,2,1,3
01.09.2014,44.5,4,2,2,1,1
01.10.2014,86.4,4,2,2,1,0
01.11.2014,170.9,4,2,2,1,2
01.12.2014,103.1,4,2,2,1,1
01.01.2015,1.8,4,2,2,1,0
01.02.2015,0.8,4,2,2,1,0
01.03.2015,71.9,4,2,2,1,1
01.04.2015,72.9,4,2,2,1,1
01.05.2015,363.7,4,2,2,1,1
01.06.2015,194.6,4,2,2,1,3
01.07.2015,86.1,4,2,2,1,4
01.08.2015,89.9,4,2,2,1,1
01.09.2015,24.9,4,2,2,1,6
01.10.2015,60.7,4,2,2,1,5
01.11.2015,194.6,4,2,2,1,3
01.12.2015,48.3,4,2,2,1,2
01.01.2016,2.0,4,2,2,1,0
01.02.2016,0.5,4,2,2,1,0
01.03.2016,42.9,4,2,2,1,0
01.04.2016,288.5,4,2,2,1,0
01.05.2016,234.7,4,2,2,1,1
01.06.2016,75.2,4,2,2,1,0
01.06.2014,93.0,4,2,2,2,9
01.07.2014,57.9,4,2,2,2,6
01.08.2014,41.9,4,2,2,2,15
01.09.2014,44.5,4,2,2,2,3
01.10.2014,86.4,4,2,2,2,15
01.11.2014,170.9,4,2,2,2,11
01.12.2014,103.1,4,2,2,2,6
01.01.2015,1.8,4,2,2,2,5
01.02.2015,0.8,4,2,2,2,1
01.03.2015,71.9,4,2,2,2,1
01.04.2015,72.9,4,2,2,2,2
01.05.2015,363.7,4,2,2,2,5
01.06.2015,194.6,4,2,2,2,15
01.07.2015,86.1,4,2,2,2,1
01.08.2015,89.9,4,2,2,2,3
01.09.2015,24.9,4,2,2,2,3
01.10.2015,60.7,4,2,2,2,9
01.11.2015,194.6,4,2,2,2,7
01.12.2015,48.3,4,2,2,2,3
01.01.2016,2.0,4,2,2,2,2
01.02.2016,0.5,4,2,2,2,0
01.03.2016,42.9,4,2,2,2,8
01.04.2016,288.5,4,2,2,2,10
01.05.2016,234.7,4,2,2,2,8
01.06.2016,75.2,4,2,2,2,0
