ID	SITE	SPECIES	FIRSTCEN	DEATHYEAR	HT83	HT84	HT85	HT86	HT87	HT88	HT89	HT90	HT91	HT92	HT93	HT94	HT95	HT96	HT97	HT98	HT99	HT00	HGRO8384	HGRO8485	HGRO8586	HGRO8687	HGRO8788	HGRO8889	HGRO8990	HGRO9091	HGRO9192	HGRO9293	HGRO9394	HGRO9495	HGRO9596	HGRO9697	HGRO9798	HGRO9899	HGRO9900	DIA83	DIA84	DIA85	DIA86	DIA87	DIA88	DIA89	DIA90	DIA91	DIA92	DIA93	DIA94	DIA95	DIA96	DIA97	DIA98	DIA99	DIA00	DGRO8384	DGRO8485	DGRO8586	DGRO8687	DGRO8788	DGRO8889	DGRO8990	DGRO9091	DGRO9192	DGRO9293	DGRO9394	DGRO9495	DGRO9596	DGRO9697	DGRO9798	DGRO9899	DGRO9900	HOW83	HOW84	HOW85	HOW86	HOW87	HOW88	HOW89	HOW90	HOW91	HOW92	HOW93	HOW94	HOW95	HOW96	HOW97	HOW98	HOW99	HOW00	HTMED83	HTMED84	HTMED85	HTMED86	HTMED87	HTMED88	HTMED89	HTMED90	HTMED91	HTMED92	HTMED93	HTMED94	HTMED95	HTMED96	HTMED97	HTMED98	HTMED99	HTMED00	DATE83	DATE84	DATE85	DATE86	DATE87	DATE88	DATE89	DATE90	DATE91	DATE92	DATE93	DATE94	DATE95	DATE96	DATE97	DATE98	DATE99	DATE00	STMCON84	STMCON85	STMCON86	STMCON87	STMCON88	STMCON89	STMCON90	STMCON91	STMCON92	STMCON93	STMCON94	STMCON95	STMCON96	STMCON97	STMCON98	STMCON99	STMCON00	CRNPO83	CRNPO84	CRNPO85	CRNPO86	CRNPO87	CRNPO88	CRNPO89	CRNPO90	CRNPO91	CRNPO92	CRNPO93	CRNPO94	CRNPO95	CRNPO96	CRNPO97	CRNPO98	CRNPO99	CRNPO00	CRNABV1	HAB83	HAB84	HAB85	HAB86	HAB87	HAB88	HAB89	HAB90	HAB91	HAB92	HAB93	HAB94	HAB95	HAB96	HAB97	HAB98	HAB99	HAB00
60275	AREAI	LA	1983	1984	61	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	7.8	9003	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CAL	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	31.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3/3/1983	3/8/1984	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4	3	7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
6101	AREAI	LA	1983	1984	52	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2.4	9003	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CAL	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	40	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3/3/1983	3/8/1984	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
60313	AREAI	LA	1983	1984	42	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1.7	9003	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CAL	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	40	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3/3/1983	3/8/1984	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	3	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
5065	AREAI	MG	1983	-999	257	263	264	253	273	276	240	285	285	293	304	305	278	325	333	357	403	320	5.4	1	-11	22.2	2.7	-36	41.4	0	6.3	11.7	1	-27	44	7.4	24.4	47.7	-83	11.1	10.5	11	11.7	11.9	12.9	12.8	13	13.6	14	14	14	11.7	14	15	15.7	17	17.9	-0.5	0.5	0.6	0.2	0.9	-0.2	0.2	0.6	0.3	0	0	-999	2.1	0.9	0.7	1.3	1.1	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	130	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	4/9/1983	5/17/1984	5/6/1985	6/5/1986	4/30/1987	6/14/1988	1/25/1989	2/26/1990	2/19/1991	5/29/1992	5/7/1993	5/5/1994	3/31/1995	4/24/1996	5/26/1997	5/20/1998	5/7/1999	2/24/2000	D	N	N	N	N	N	N	N	N	N	N	D	N	N	N	N	N	2.5	2.25	2	2	2.25	2.25	1.75	2	1.75	1.5	1.75	1.5	1.5	1.5	1.5	1.5	1.5	1.5	2	1.5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
5066	AREAI	MG	1983	-999	240	223	246	235	276	252	248	256	278	294	297	297	300	308	310	325	351	304	-17	23.7	-11	45.5	-24	-4	7.4	22.4	12.6	3.2	0	3.3	7.5	1.8	15.3	27	-47	10	11.2	11.7	12.1	12.4	13.1	13.1	13.5	13.7	13.9	14.4	14.4	14.4	15.5	15.9	16.1	16.8	18	1.1	0.5	0.4	0.3	0.6	0	0.4	0.2	0.2	0.5	0	0	1	0.4	0.2	0.7	1.5	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	131	129M	129M	129M	129M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	4/9/1983	5/17/1984	5/6/1985	6/5/1986	4/30/1987	6/14/1988	1/25/1989	2/26/1990	2/19/1991	5/29/1992	5/7/1993	5/5/1994	3/31/1995	4/24/1996	5/26/1997	5/20/1998	5/7/1999	2/24/2000	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	2.5	2	1.75	2	2	2	2	2	2	1.5	1.5	1.5	1.5	1.5	1.5	2	1.75	1.5	2	1.5	4	4	3.5	4	4	4	4	4	4	4	4	4	4	4	4	4	4
60301	AREAI	LA	1983	-999	274	320	357	268	314	327	323	314	340	342	362	379	379	380	381	352	370	379	41.6	38.1	-89	50.9	11.5	-4	-9	26.5	1.6	21.3	17.1	0	0.9	0.9	-29	18.7	11.2	14.6	19	20.9	22.8	22.7	23.6	23.4	24.3	25	25.2	26.2	26.2	26.2	26.2	26.2	26.5	26.5	27.5	4	2	1.8	-0.1	0.8	-0.3	0.8	0.7	0.2	1.1	0	0	0	0	0.3	0	1.2	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	126	126M	126M	126M	126M	126M	126M	126M	126M	126M	126M	126M	126M	126M	126M	126M	126M	126M	4/9/1983	5/17/1984	5/6/1985	6/4/1986	4/30/1987	6/14/1988	1/25/1989	2/26/1990	2/19/1991	5/29/1992	5/7/1993	5/5/1994	3/31/1995	4/24/1996	5/26/1997	5/20/1998	5/7/1999	2/24/2000	N	N	N	D	N	N	N	N	N	N	N	N	N	N	N	N	N	2.5	2	1.75	2	2	2	2	2	2	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.75	1.5	1	2	4	3.5	4	5	3.5	4	4	4	4	4	4	4	4	4	4	4	4
60302	AREAI	LA	1983	-999	232	277	168	152	141	145	154	167	168	168	162	154	153	156	157	144	47	44	40.7	-109	-16	-11	3.6	14.6	12	1	0	-6	-8	-1	2.8	0.9	-13	-97	-3	12.5	13.7	14.1	14.7	17.7	18.7	18.3	18.3	18.4	18.4	18.4	18.4	18.4	18.4	18.4	18.4	18.8	19.3	1.1	0.4	0.6	-999	0.9	-0.6	0	0.1	0	0	0	0	0	0	0	-999	0.6	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	131M	133M	133M	133M	40M	40M	40M	40M	40M	40M	40M	40M	40M	40M	40M	40M	20M	20M	4/9/1983	5/17/1984	5/6/1985	6/5/1986	4/30/1987	6/14/1988	1/25/1989	2/26/1990	2/19/1991	5/29/1992	5/7/1993	5/5/1994	3/31/1995	4/24/1996	5/26/1997	5/20/1998	5/7/1999	2/24/2000	N	HR	N	D	RA	RA	D	D	D	D	D	D	D	D	D	D	D	1.5	1.75	1.75	1.75	1.5	1.75	2	2	1.75	1.5	1.5	2	1.5	1.5	1.5	1.5	2	1.5	1	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3
60303	AREAI	LA	1983	1987	167	180	178	182	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	11.6	-2	3.7	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	6.9	7.5	7.2	7.9	9003	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.5	-0.3	0.6	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	CAL	CAL	CAL	CAL	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	132	132M	132M	132M	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	4/9/1983	5/23/1984	5/6/1985	6/4/1986	4/30/1987	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	7/7/1977	D	D	N	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1.5	1.5	1.75	1.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	3	5	3.5	4	5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
60304	AREAI	LA	1983	-999	310	291	276	285	295	284	46	98	100	111	112	117	126	150	180	112	113	164	-19	-15	8.3	11	-11	-238	47.8	2	8.6	1.1	5	10	22.5	27.6	-68	1	65.5	13.3	13.1	13.6	14.6	14.3	14.3	14.6	19.2	19.9	19.9	19.9	19.9	19.9	20.2	20.7	21.3	21.3	23	-0.2	0.5	0.9	-0.3	0	0.5	-999	0.7	0	0	0	0	0.3	0.5	0.6	0	2.2	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	129.5	127M	127M	127M	127M	127M	127M	20M	20M	20M	20M	20M	20M	20M	20M	20M	20M	20M	4/9/1983	5/23/1984	5/3/1985	6/5/1986	5/4/1987	6/21/1988	1/25/1989	2/26/1990	2/19/1991	5/29/1992	5/7/1993	5/5/1994	3/31/1995	4/24/1996	5/26/1997	5/20/1998	5/7/1999	2/15/2000	N	N	N	N	N	HR	D	D	RA	RA	RA	D	D	D	D	D	D	1.5	2	1.5	1.5	2	2	2	2	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	2	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
60199	AREAI	LA	1983	-999	257	255	251	253	275	267	276	290	293	294	275	300	290	278	281	286	315	321	-2	-4	1.8	24.1	-8	15.1	12.9	3.1	0.8	-19	25.1	-10	-12	2.8	5.1	29.9	7.5	11.2	12.5	13.5	14.3	14.9	15.2	14.4	15.3	15.4	15.7	15.9	15.9	15.9	16.6	17	17.1	17.8	18.3	1.2	1.1	0.7	-999	0.3	-1.3	0.8	0.1	0.2	0.2	0	0	0.7	0.4	0.1	0.7	0.6	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	130	127M	127M	127M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	130M	4/22/1983	5/23/1984	5/3/1985	6/5/1986	5/4/1987	6/21/1988	1/25/1989	2/26/1990	2/19/1991	5/29/1992	5/7/1993	5/5/1994	3/31/1995	4/24/1996	5/26/1997	5/18/1998	5/7/1999	2/24/2000	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	2	1.75	1.75	2	2	2	2	2	1.5	1.75	1.75	2	2	1.5	2	2.5	2	1.5	1	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
